year,Entity,depression_pct
1900,Morocco,
1901,Morocco,
1901,Morocco,
1902,Morocco,
1902,Morocco,
1903,Morocco,
1903,Morocco,
1904,Morocco,
1904,Morocco,
1905,Morocco,
1905,Morocco,
1906,Morocco,
1906,Morocco,
1907,Morocco,
1907,Morocco,
1908,Morocco,
1908,Morocco,
1909,Morocco,
1909,Morocco,
1910,Morocco,
1910,Morocco,
1911,Morocco,
1911,Morocco,
1912,Morocco,
1912,Morocco,
1913,Morocco,
1913,Morocco,
1914,Morocco,
1914,Morocco,
1915,Morocco,
1915,Morocco,
1916,Morocco,
1916,Morocco,
1917,Morocco,
1917,Morocco,
1918,Morocco,
1918,Morocco,
1919,Morocco,
1919,Morocco,
1920,Morocco,
1920,Morocco,
1921,Morocco,
1921,Morocco,
1922,Morocco,
1922,Morocco,
1923,Morocco,
1923,Morocco,
1924,Morocco,
1924,Morocco,
1925,Morocco,
1925,Morocco,
1926,Morocco,
1926,Morocco,
1927,Morocco,
1927,Morocco,
1928,Morocco,
1928,Morocco,
1929,Morocco,
1929,Morocco,
1930,Morocco,
1930,Morocco,
1931,Morocco,
1931,Morocco,
1932,Morocco,
1932,Morocco,
1933,Morocco,
1933,Morocco,
1934,Morocco,
1934,Morocco,
1935,Morocco,
1935,Morocco,
1936,Morocco,
1936,Morocco,
1937,Morocco,
1937,Morocco,
1938,Morocco,
1938,Morocco,
1939,Morocco,
1939,Morocco,
1940,Morocco,
1940,Morocco,
1941,Morocco,
1941,Morocco,
1942,Morocco,
1942,Morocco,
1943,Morocco,
1943,Morocco,
1944,Morocco,
1944,Morocco,
1945,Morocco,
1945,Morocco,
1946,Morocco,
1946,Morocco,
1947,Morocco,
1947,Morocco,
1948,Morocco,
1948,Morocco,
1949,Morocco,
1949,Morocco,
1950,Morocco,
1950,Morocco,
1951,Morocco,
1951,Morocco,
1952,Morocco,
1952,Morocco,
1953,Morocco,
1953,Morocco,
1954,Morocco,
1954,Morocco,
1955,Morocco,
1955,Morocco,
1956,Morocco,
1956,Morocco,
1957,Morocco,
1957,Morocco,
1958,Morocco,
1958,Morocco,
1959,Morocco,
1959,Morocco,
1960,Morocco,
1960,Morocco,
1961,Morocco,
1961,Morocco,
1962,Morocco,
1962,Morocco,
1963,Morocco,
1963,Morocco,
1964,Morocco,
1964,Morocco,
1965,Morocco,
1965,Morocco,
1966,Morocco,
1966,Morocco,
1967,Morocco,
1967,Morocco,
1968,Morocco,
1968,Morocco,
1969,Morocco,
1969,Morocco,
1970,Morocco,
1970,Morocco,
1971,Morocco,
1971,Morocco,
1972,Morocco,
1972,Morocco,
1973,Morocco,
1973,Morocco,
1974,Morocco,
1974,Morocco,
1975,Morocco,
1975,Morocco,
1976,Morocco,
1976,Morocco,
1977,Morocco,
1977,Morocco,
1978,Morocco,
1978,Morocco,
1979,Morocco,
1979,Morocco,
1980,Morocco,
1980,Morocco,
1981,Morocco,
1981,Morocco,
1982,Morocco,
1982,Morocco,
1983,Morocco,
1983,Morocco,
1984,Morocco,
1984,Morocco,
1985,Morocco,
1985,Morocco,
1986,Morocco,
1986,Morocco,
1987,Morocco,
1987,Morocco,
1988,Morocco,
1988,Morocco,
1989,Morocco,
1989,Morocco,
1990,Morocco,5.468472
1990,Morocco,
1990,Morocco,
1990,Morocco,
1991,Morocco,5.45781
1991,Morocco,
1991,Morocco,
1991,Morocco,
1992,Morocco,5.4512
1992,Morocco,
1992,Morocco,
1992,Morocco,
1993,Morocco,5.452734
1993,Morocco,
1993,Morocco,
1993,Morocco,
1994,Morocco,5.456423
1994,Morocco,
1994,Morocco,
1994,Morocco,
1995,Morocco,5.465268
1995,Morocco,
1995,Morocco,
1995,Morocco,
1996,Morocco,5.49753
1996,Morocco,
1996,Morocco,
1996,Morocco,
1997,Morocco,5.563449
1997,Morocco,
1997,Morocco,
1997,Morocco,
1998,Morocco,5.641161
1998,Morocco,
1998,Morocco,
1998,Morocco,
1999,Morocco,5.707277
1999,Morocco,
1999,Morocco,
1999,Morocco,
2000,Morocco,5.739526
2000,Morocco,
2000,Morocco,
2000,Morocco,
2001,Morocco,5.744704
2001,Morocco,
2001,Morocco,
2001,Morocco,
2002,Morocco,5.743804
2002,Morocco,
2002,Morocco,
2002,Morocco,
2003,Morocco,5.737973
2003,Morocco,
2003,Morocco,
2003,Morocco,
2004,Morocco,5.73216
2004,Morocco,
2004,Morocco,
2004,Morocco,
2005,Morocco,5.728669
2005,Morocco,
2005,Morocco,
2005,Morocco,
2006,Morocco,5.725187
2006,Morocco,
2006,Morocco,
2006,Morocco,
2007,Morocco,5.719489
2007,Morocco,
2007,Morocco,
2007,Morocco,
2008,Morocco,5.715825
2008,Morocco,
